Id,Weight,Name,Language
27494663,41,docker/machine,Go
203666,49,fog/fog,Ruby
8962829,234,jspm/jspm-cli,JavaScript
27193779,86,nodejs/io.js,JavaScript
26509369,86,coreos/rkt,Go
2948949,4,BroadleafCommerce/BroadleafCommerce,Java
25126616,3,dbcli/pgcli,Python
3319769,21,sass/libsass,C++
15171934,1,caskroom/homebrew-fonts,Ruby
11290232,7,flynn/flynn,Go
2081289,25,astropy/astropy,Python
28062827,7,gulpjs/gulp-cli,JavaScript
11589713,40,deis/deis,Python
17784299,2,brooklyncentral/clocker,JavaScript
9998516,4,fsouza/go-dockerclient,Go
777444,1,rhuss/jolokia,Java
611921,8,activeadmin/activeadmin,Ruby
24560307,82,6to5/babel,JavaScript
79352,2,mikel/mail,Ruby
2935735,32,adobe/brackets,JavaScript
9461481,29,docker/docker-registry,Python
25537901,1,tue-robotics/robot_skills,Python
4025121,5,getnikola/nikola,Python
10969551,13,cms-sw/cmssw,C++
1857825,4,s3tools/s3cmd,Python
11421378,13,flovan/headstart,JavaScript
8843683,1,nnnick/Chart.js,JavaScript
671825,18,Graylog2/graylog2-server,Java
7691631,83,docker/docker,Go
8711353,4,cms-sw/cmsdist,C++
206084,87,Homebrew/homebrew,Ruby
23584825,28,Workiva/karma-jspm,JavaScript
9530789,2,strongloop/loopback-workspace,JavaScript
9325315,19,strongloop/loopback,JavaScript
1801829,17,emberjs/ember.js,JavaScript
9207280,13,crosswalk-project/crosswalk,C++
11808187,2,rvagg/through2,JavaScript
588600,2,brianmario/mysql2,Ruby
11778024,7,mozilla/fxa-content-server,JavaScript
714074,7,pouchdb/pouchdb,JavaScript
3016562,10,emberjs/data,JavaScript
14159669,7,caskroom/homebrew-versions,Ruby
19294390,1,nikku/karma-browserify,JavaScript
21357099,1,dustinfarris/ember-django-adapter,JavaScript
9852918,2,TryGhost/Ghost,JavaScript
1009207,127,nu7hatch/gmail,Ruby
7876204,1,emberjs/ember-inspector,JavaScript
10707658,6,rom-rb/rom,Ruby
27022174,2,dockyard/ember-cli-i18n,JavaScript
8569918,2,gonum/matrix,Go
606956,5,bndtools/bnd,Java
28366058,21,docker/distribution,Go
5532320,63,Polymer/polymer,HTML
931039,9,substack/node-browserify,JavaScript
7786818,2,Zarel/Pokemon-Showdown-Client,JavaScript
17752746,2,lytics/ember-data-model-fragments,JavaScript
16219318,3,fog/fog-core,Ruby
22521888,2,losonczylab/sima,Python
238972,25,rspec/rspec-core,Ruby
13512328,2,coreos/fleet,Go
104937,3,calagator/calagator,Ruby
321278,60,npm/npm,JavaScript
8927771,2,thlorenz/es6ify,JavaScript
23096959,21,golang/go,Go
15601851,4,js-data/js-data-angular,JavaScript
11693039,3,everpeace/vagrant-mesos,Ruby
271714,8,wkhtmltopdf/wkhtmltopdf,C++
2351391,1,crowbar/barclamp-deployer,Ruby
108278,12,chef/chef,Ruby
2665618,17,inveniosoftware/invenio,Python
14981376,22,dogecoin/dogecoin,C++
2014929,4,scikit-image/scikit-image,Python
9403933,1,mapbox/mapnik-vector-tile,C++
10350614,4,ros-industrial/fanuc,C++
24835467,7,babel/babelify,JavaScript
3455070,2,swagger-api/swagger-js,JavaScript
5710178,2,bower/registry,JavaScript
843222,17,scikit-learn/scikit-learn,Python
9265294,2,lra/mackup,Python
1446467,11,pypa/pip,Python
11452644,6,18F/openopps-platform,JavaScript
137805,1,redis/redis-rb,Ruby
8271291,6,yegor256/rultor,Java
8262427,2,L2G/timezone-ii,Ruby
21546187,1,ember-cli/ember-cli-qunit,JavaScript
15838785,4,openworm/PyOpenWorm,Python
1129010,2,blueimp/jQuery-File-Upload,JavaScript
11796974,69,jspm/registry,JavaScript
3626679,3,MongoEngine/mongoengine,Python
6452529,10,rethinkdb/rethinkdb,C++
658518,34,ipython/ipython,Python
26399616,1,yuya-takeyama/dbyaml2md,Go
2893713,2,opscode/mixlib-shellout,Ruby
17152449,7,rwjblue/ember-qunit,JavaScript
26992831,1,jmoon018/PacVim,C++
19548750,9,neovim/python-client,Python
13739356,14,openhealthcare/elcid,Python
6182775,3,flask-restful/flask-restful,Python
28155823,6,rancher/ui,JavaScript
24336212,3,dpla/heidrun,Ruby
1090311,51,elastic/logstash,Ruby
729744,29,Graylog2/graylog2-web-interface,JavaScript
11167738,14,gulpjs/gulp,JavaScript
11617504,6,lxde/pcmanfm-qt,C++
43371,5,eventmachine/eventmachine,Ruby
10391073,13,edx/edx-platform,Python
5721837,1,gruntjs/grunt-contrib-cssmin,JavaScript
28669836,3,jmm/remapify,JavaScript
2067253,1,opentripplanner/OpenTripPlanner,Java
7099729,3,hapijs/good,JavaScript
5373551,3,libgdx/libgdx,Java
168370,15,jruby/jruby,Ruby
25042195,7,bloomberg/blpapi-http,TypeScript
1283503,8,request/request,JavaScript
589584,1,mustache/mustache.github.com,HTML
20460946,10,strongloop/strong-pm,JavaScript
19872239,5,npm/newww,JavaScript
14089735,35,ember-cli/ember-cli,JavaScript
12244838,1,dib-lab/khmer-protocols,Python
18533350,12,uProxy/uproxy,TypeScript
3447593,1,cnodejs/nodeclub,JavaScript
1402936,2,strongloop/fsevents,C++
1204412,2,TrinityCore/TrinityCore,C++
21779020,2,gaearon/react-hot-loader,JavaScript
8266573,11,slipstream/SlipStreamServer,Java
13384052,6,firedrakeproject/firedrake,Python
3557653,3,snarfed/granary,Python
27150322,5,swcarpentry/python-novice-inflammation,HTML
3308958,10,cyclus/cyclus,C++
20580498,84,kubernetes/kubernetes,Go
11412473,1,ankane/searchkick,Ruby
2751199,2,geoserver/geoserver,Java
5710341,10,bower/bower,JavaScript
2203645,27,CocoaPods/CocoaPods,Ruby
20929025,11,Microsoft/TypeScript,TypeScript
1787757,2,spmjs/spm,JavaScript
27196756,10,nodejs/iojs.org,JavaScript
1460385,5,scipy/scipy,Python
5048251,1,ppawel/openstreetmap-website,Ruby
8276387,5,OpenTreeOfLife/opentree,JavaScript
14204295,3,jcabi/jcabi-github,Java
28758778,1,Razzeee/script.trakt,Python
22369178,4,postcss/postcss-import,JavaScript
14225208,20,aspnet/DNX,C++
23810532,1,strongloop/loopback-gateway,JavaScript
3198415,3,openmicroscopy/ome-documentation,Python
6862780,7,divio/djangocms-text-ckeditor,HTML
9534760,2,fourseven/meteor-scss,JavaScript
28283593,9,letsencrypt/anvil,Go
26494782,1,AmpersandJS/examples,JavaScript
22873447,4,Qabel/qabel-core,Java
1632976,1,enthought/pyface,Python
24474126,19,ansible/ansible-modules-core,Python
17084864,1,meanjs/generator-meanjs,JavaScript
488514,3,bundler/bundler,Ruby
19354917,1,iStefo/ember-select-2,JavaScript
7804910,8,Polymer/docs,HTML
