Weight,Name
150,docker/docker
556,SickRage/SickRage
59,nodejs/node
18,facebook/react-native
79,Homebrew/legacy-homebrew
333,systemjs/builder
481,Microsoft/vscode
19,zurb/foundation-sites
25,rails/rails
181,driftyco/ionic
22,Polymer/polymer
20,bazelbuild/bazel
15,postcss/postcss-import
23,Chisel-Team/Chisel
12,jekyll/jekyll
8,ros/rosdistro
18,mozilla/addons-server
6,adaptlearning/adapt-contrib-trickle
29,ros2/rclcpp
8,18F/guides-template
12,sanctuary-js/sanctuary
5,spring-projects/spring-session
25,mapbox/mapbox-gl-native
2,kodi-pvr/pvr.vbox
17,swagger-api/swagger-editor
6,mlibrary/umrdr
4,nteract/hydrogen
12,fastlane/fastlane
4,edx/configuration
7,decred/dcrwallet
11,RackHD/RackHD
4,tilezen/vector-datasource
8,FormidableLabs/victory-chart
11,arduino/Arduino
13,deconst/deconst-docs
5,TerriaJS/terriajs
6,bitcoin/bitcoin
12,sul-dlss/argo
4,divio/django-cms
89,vector-im/riot-web
4,stylelint/stylelint
7,firedrakeproject/firedrake
3,cloudify-cosmo/cloudify-system-tests
3,napalm-automation/napalm-base
19,camunda/camunda-modeler
5,jazzband/django-debug-toolbar
16,RobotLocomotion/drake
4,mozilla-services/kinto-dist
3,pulibrary/marc_liberation
8,Qabel/qabel-desktop
19,OPM/opm-simulators
2,onmodulus/eslint-config
2,mapnik/test-data-visual
8,galaxyproject/galaxy
14,pelias/api
5,feross/webtorrent-desktop
2,confluentinc/schema-registry
4,scikit-image/scikit-image
10,quintel/etmodel
6,owncloud/android
34,Valloric/YouCompleteMe
3,nfarina/homebridge
5,SBU-BMI/SlicerOpenCV
2079,cms-sw/cmssw
2,hbz/nwbib
3,broadinstitute/picard
4,getsentry/sentry
26,18F/epa-notice
3,hidroh/materialistic
2,NYPL-Simplified/content-server
5,mitmproxy/pathod
5,zooniverse/wildcam-gorongosa-education
2,openzipkin/zipkin-java
2,MegaMek/megameklab
3,thymeleaf/thymeleaf
14,cyclejs/dom
2,inveniosoftware/invenio-records-rest
3,TheTorProject/ooni-backend
11,couchbase/couchbase-lite-java-core
9,UB-Heidelberg/UBHD-OMPPropylaeum
15,aurelia/i18n
14,odoo/odoo
3,zenodo/zenodo
23,fog/fog
2,wagtail/wagtail
2,trailsjs/trails
4,apple/swift
2,Leaflet/Leaflet
10,JMRI/JMRI
8,junit-team/junit-lambda
