Source,Target,Weight
51556828,7691631,27
50118546,29893472,2
33197650,32897822,1
32897822,33197650,1
2310495,2381732,8
6093316,21018299,1
10126908,9325315,4
52855516,3745077,6
41881900,20929025,179
12256376,46805578,49
12256376,14562056,86
12256376,13220460,37
7691631,49029588,12
32339800,1187853,1
26142080,40208831,2
47132986,46716359,1
63537249,24560307,18
21347346,35951404,2
18399889,3638964,1
5786013,53928710,10
15799524,20415251,1
64204546,43790903,1
321278,27193779,4
15443575,16999809,1
24063576,37500192,1
63109541,24195339,1
39487546,37144575,35
16256144,23947487,13
57149464,63742071,2
25997846,321278,1
37240232,29028775,1
11969507,49966855,1
6365343,34678084,9
34678084,6365343,6
15881968,20131603,1
3638964,24474126,13
9325315,10045175,4
1940673,1324028,2
47341961,41881900,5
47671127,47649855,4
54503347,49598840,11
40806530,60807171,1
49295278,12256376,2
41881900,47341961,55
43003744,5532320,1
52452207,55956740,1
2203645,2725544,6
20580498,33429211,9
2706701,2031640,2
14448779,2081289,7
23272510,22442668,1
10707658,26553597,1
39006836,39003227,3
24412537,16734168,1
52452207,54575825,1
42955150,16563587,2
6228403,3662176,2
10064545,41557420,1
3195124,1786914,1
54503347,28366058,4
32836701,47852032,1
26509369,20580498,1
8135462,47609714,3
42926209,41881900,5
15514912,15550894,7
8629417,16286131,15
24117313,1090311,1
29099181,59787605,9
41881900,44774566,73
32707901,9384267,1
11803168,11855195,1
56941978,4106792,1
7691631,36960321,12
39504796,39820044,33
33816473,20415251,4
31492490,35951404,33
12310030,9992330,3
1362490,2410676,8
22847604,30100099,4
16554739,507775,1
59104105,16594532,1
16243570,929845,1
35552300,22737333,1
943149,35640229,2
7691631,51556828,65
31239705,23096959,2
26567889,4287066,6
13220460,12256376,4
20580498,41458519,2
53238813,206084,2
41543133,32215970,1
26516210,28283593,3
16607898,16606316,1
50843402,13384052,1
20100867,9325315,1
24109199,3638964,1
49029588,7691631,3
7691631,15045751,2
24604008,7053637,1
7962111,714074,2
41881900,49946255,10
2132207,108278,2
63488276,321278,1
2720287,32969220,2
32969220,2720287,2
53356367,22442668,1
1338813,8962829,1
1610564,20580498,1
5483330,1039520,1
10144081,23050110,1
19939216,41291958,3
36817565,35210580,25
62705699,24897645,4
13414105,1446467,1
29261473,23096959,3
33816473,1064563,1
11452644,349241,3
1213225,36976386,1
18981255,36976386,1
36976386,18981255,1
31492490,21347346,18
40686014,20580498,11
63537249,3678731,2
58462216,10270250,1
447184,238972,2
3745077,206084,1
45036984,41881900,2
690903,4164482,1
53238813,52855516,19
22442668,20580498,44
26813738,21919767,1
57398434,45704630,3
34877706,29849956,1
41568744,57909178,2
20580498,45704630,1
20580498,23096959,6
6644973,18609427,2
5441793,63090054,20
3328572,873328,4
5441793,63089994,65
11461524,21184808,1
60795741,3579088,1
2750721,2890627,2
14507,8514,6
3214406,43717321,5
32043598,64340716,35
60192555,3678731,1
60192555,24119524,2
11061773,27620277,2
41881900,9384267,11
41881900,44264925,10
23325575,61749868,2
52855516,4648505,1
27835638,20929025,1
1099265,2014929,1
35951404,31492490,14
20789757,20580498,1
18609427,16147933,2
17728164,27576132,3
27576132,17728164,1
692528,4164482,2
62367558,35312458,1
15515181,1362490,1
31404980,23096959,6
2081289,34693515,1
63342701,44250834,1
61014987,24690303,1
51925233,16416867,1
23096959,1914329,2
275604,2050163,1
2863909,1182756,1
2050163,275604,1
24165519,23021810,1
4648505,13384052,2
14281190,1064563,2
44264925,41881900,9
52855516,4106792,7
53213638,32737992,2
658518,16241224,3
32737992,53213638,3
32737992,53214857,1
52855516,20580498,4
19390712,2006876,12
58776721,858127,1
14291040,11969507,3
45646037,58153528,2
363387,238972,1
21919767,36316259,1
2508083,15974409,3
16286131,8629417,12
2833537,18609427,2
54980593,1446467,6
16851223,15830664,1
52630616,56356706,4
21184808,11461524,1
16563587,11225014,2
49535019,23974149,3
59502896,15550894,1
35312458,27193779,2
43615334,49288313,1
60257626,41092776,1
53954149,20773773,1
1864194,1864233,3
2968000,3557653,7
451035,8514,2
12511640,4128353,1
59787605,29099181,3
41881900,45425758,3
53749529,211588,1
50884378,2050163,1
18398494,13258039,1
14720810,3671909,2
33902006,34013728,3
37526090,37372629,11
33015583,45717250,5
958314,27193779,2
45425758,56088006,8
23627382,48447679,1
7833168,507775,12
42006308,3301400,1
20343475,38843429,13
15495333,24195339,1
43717321,45091719,1
24474126,3638964,124
4262493,2011783,2
24513798,20785986,1
858127,13221727,1
35312458,61812065,2
18477927,9384267,2
20580498,7691631,16
60260525,6498492,1
20323343,6498492,1
26987049,1181927,13
43916263,41881900,3
11557649,9325315,1
18068542,41881900,2
60637112,60637206,1
3638964,24474138,6
45495450,32848140,1
16568072,747698,1
35563024,7653178,1
29079643,23096959,1
18402447,16286131,9
2452759,8436350,2
46805319,6644973,1
13417097,1012745,2
1012745,13417097,2
62752279,40969713,1
33258973,13124802,3
53492012,32737992,1
49286861,29798880,2
41861768,20929025,1
41881900,41861768,3
32787174,44203721,2
31492490,29137950,15
747698,49908092,3
37966995,30632878,1
30632878,37966995,2
49412155,62802442,12
48004987,16563587,8
6235174,47772893,1
7044114,6908774,1
54685360,8629417,2
21347346,31492490,5
51577912,321278,1
61302852,15550894,1
15550894,61302852,1
39504796,43372569,10
54150496,25136308,1
54150496,23974149,1
6093316,20929025,11
7691631,23096959,9
23272510,20580498,2
943149,35446456,4
17224514,44253742,7
14089735,45425758,1
43526066,7691631,1
52083467,8604178,2
20580498,22442668,11
