Weight,Name
565,hashicorp/terraform
9,tc39/ecma262
39,conda/conda
81,angular/angular-cli
281,cms-sw/cmssw
322,Microsoft/
39,DefinitelyTyped/
25,astropy/astropy
56,tensorflow/tfjs-core
31,spring-projects/spring-boot
32,prettier/
21,ManageIQ/
27,Polymer/
17,whatwg/html
12,ros-infrastructure/ros_buildfarm
35,mapbox/mapbox-gl-native
11,PX4/Firmware
88,trufflesuite/ganache
31,openhab/openhab2-addons
11,BluSunrize/ImmersiveEngineering
25,vector-im/riot-web
43,LLK/scratch-gui
5,SeleniumHQ/selenium
5,qbittorrent/qBittorrent
8,swagger-api/swagger-codegen
9,canjs/canjs
98,NativeScript/NativeScript
13,odoo/
8,pytorch/
8,OAI/OpenAPI-Specification
5,kiwix/kiwix-tools
4,AnalyticalGraphicsInc/cesium
7,Activiti/Activiti
8,django/channels
3,openfisca/openfisca-core
22,OPM/opm-simulators
7,org-id/register
5,mrdoob/three.js
10,pallets/flask
8,decidim/decidim
40,spring-cloud/spring-cloud-dataflow
5,roboticslab-uc3m/yarp-devices
3,netlify/netlify-cms
8,AliceO2Group/AliceO2
11,atomist/sdm
10,cBioPortal/cbioportal-frontend
116,eclipse/openj9
3,square/okhttp
3,jekyll/jekyll
4,infoportugal/wagtail-modeltranslation
3,appium/appium
4,SpiNNakerManchester/sPyNNaker
4,edx/
13,zooniverse/Panoptes-Front-End
9,scality/S3
282,zerocracy/farm
10,sul-dlss-labs/taco
12,deeplearning4j/rl4j
9,glinscott/leela-chess
8,mattermost/mattermost-server
6,google/fonts
16,ionic-team/ionic
7,SharePoint/sp-dev-fx-webparts
4,theobarberbany/js_tag_validator
6,imagej/imagej-legacy
4,cloudify-cosmo/cloudify-manager-install
3,scitran/core
5,google/error-prone
2,Ullfis/aurelia-mdc-bridge
4,jaegertracing/jaeger-ui
7,w3c/imsc
7,ArduPilot/ardupilot
243,apple/
6,edgi-govdata-archiving/web-monitoring
8,serverless/serverless
3,okfn/docker-ckan
3,c2corg/v6_ui
10,modoboa/modoboa
4,hasgeek/coaster
7,exercism/python
3,broadinstitute/gatk
6,nextcloud/android
3,getnikola/plugins
6,chaoss/grimoirelab
13,osate/osate2
5,citra-emu/citra-web
5,BTCPrivate/BitcoinPrivate
6,census-instrumentation/opencensus-go
5,artefactual/archivematica
3,fabric8-ui/fabric8-ui
2,micdoodle8/Galacticraft
5,beer-garden/bartender
3,ipfs/ipfs-cluster
3,libp2p/go-libp2p
4,alpheios-project/inflection-tables
8,FormidableLabs/victory
